vID,sID,week,dateIN-OUT,temp,invasion,block,cageID,rep,PAL-M,PAL-F,RUB-M,RUB-F,BIR-M,PST-M,PAN-M,unID-F,Asobara,Diapriid,all-F
42,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-14,C,0,NA,6,NA,0,3,NA,NA,34,0,11
43,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-15,A,2,NA,2,NA,0,7,NA,NA,39,0,14
44,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-15,B,1,NA,12,NA,0,6,NA,NA,25,0,20
45,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-15,C,3,NA,4,NA,0,8,NA,NA,44,1,8
46,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-16,A,7,NA,0,NA,1,0,NA,NA,54,2,11
47,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-16,B,1,NA,6,NA,1,2,NA,NA,46,0,8
48,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-16,C,7,NA,12,NA,0,2,NA,NA,12,0,12
49,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-17,A,0,NA,13,NA,0,2,NA,NA,12,0,10
50,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-17,B,1,NA,6,NA,0,3,NA,NA,30,0,19
51,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-17,C,5,NA,6,NA,0,3,NA,NA,26,0,18
52,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-18,A,11,NA,2,NA,2,4,NA,NA,9,1,27
53,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-18,B,5,NA,6,NA,0,1,NA,NA,20,0,9
54,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-18,C,11,NA,7,NA,1,1,NA,NA,15,0,15
55,S0.2,INIT3,,CTRL,CLOSED,B1,C-01,A,19,23,2,1,4,0,NA,5,10,3,NA
56,S0.2,INIT3,,CTRL,CLOSED,B1,C-01,B,21,24,4,5,0,0,NA,1,8,1,NA
57,S0.2,INIT3,,CTRL,CLOSED,B1,C-01,C,19,27,1,4,1,2,NA,1,8,0,NA
58,S0.2,INIT3,,CTRL,CLOSED,B1,C-02,A,25,30,0,0,0,0,NA,1,6,0,NA
59,S0.2,INIT3,,CTRL,CLOSED,B1,C-02,B,14,17,0,0,1,3,NA,3,6,0,NA
60,S0.2,INIT3,,CTRL,CLOSED,B1,C-02,C,27,36,0,0,0,2,NA,2,2,1,NA
61,S0.2,INIT3,,CTRL,CLOSED,B1,C-03,A,16,26,0,0,1,6,NA,5,18,7,NA
