vID,sID,week,dateIN-OUT,temp,invasion,block,cageID,rep,PAL-M,PAL-F,RUB-M,RUB-F,BIR-M,PST-M,PAN-M,unID-F,Asobara,Diapriid,all-F
344,S1.2,E10.2,,HW,INVAS,B1,C-07,B,21,31,0,0,3,0,5,2,14,0,NA
345,S1.2,E10.2,,HW,INVAS,B1,C-07,C,17,13,3,1,8,0,4,11,6,0,NA
346,S1.2,E10.2,,CTRL,CLOSED,B1,C-08,A,12,17,0,0,0,0,0,2,16,1,NA
347,S1.2,E10.2,,CTRL,CLOSED,B1,C-08,B,18,18,0,0,0,2,0,2,8,1,NA
348,S1.2,E10.2,,CTRL,CLOSED,B1,C-08,C,22,17,0,0,0,0,0,1,11,0,NA
349,S1.2,E10.2,,CTRL,CLOSED,B1,C-09,A,20,22,0,0,0,1,0,2,21,0,NA
350,S1.2,E10.2,,CTRL,CLOSED,B1,C-09,B,18,26,0,0,0,5,0,5,17,0,NA
351,S1.2,E10.2,,CTRL,CLOSED,B1,C-09,C,20,26,0,0,0,2,0,3,26,0,NA
352,S1.2,E10.2,,WARM,CLOSED,B1,C-10,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
353,S1.2,E10.2,,WARM,CLOSED,B1,C-10,B,24,25,0,0,0,5,0,5,1,4,NA
354,S1.2,E10.2,,WARM,CLOSED,B1,C-10,C,22,19,0,0,0,6,0,1,15,3,NA
355,S1.2,E10.2,,HW,INVAS,B1,C-11,A,18,27,0,1,0,0,0,0,7,0,NA
356,S1.2,E10.2,,HW,INVAS,B1,C-11,B,20,24,0,0,0,0,1,1,12,0,NA
357,S1.2,E10.2,,HW,INVAS,B1,C-11,C,16,16,0,0,0,0,0,0,5,0,NA
358,S1.2,E10.2,,HW,CLOSED,B1,C-12,A,14,18,0,0,0,0,0,0,24,0,NA
359,S1.2,E10.2,,HW,CLOSED,B1,C-12,B,13,28,0,0,0,0,0,0,25,1,NA
360,S1.2,E10.2,,HW,CLOSED,B1,C-12,C,10,15,0,0,0,0,0,0,19,0,NA
361,S1.2,E10.2,,WARM,CLOSED,B1,C-13,A,5,7,0,0,0,0,0,1,27,5,NA
362,S1.2,E10.2,,WARM,CLOSED,B1,C-13,B,15,13,0,0,0,2,0,3,28,1,NA
363,S1.2,E10.2,,WARM,CLOSED,B1,C-13,C,19,21,0,0,0,3,0,0,16,3,NA
364,S1.2,E10.2,,CTRL,INVAS,B1,C-14,A,6,10,0,0,0,5,0,4,48,0,NA
365,S1.2,E10.2,,CTRL,INVAS,B1,C-14,B,12,10,0,0,0,4,1,5,33,5,NA
366,S1.2,E10.2,,CTRL,INVAS,B1,C-14,C,9,9,0,0,0,4,0,10,43,5,NA
367,S1.2,E10.2,,HW,INVAS,B1,C-15,A,16,16,3,3,1,1,4,2,8,0,NA
368,S1.2,E10.2,,HW,INVAS,B1,C-15,B,7,16,8,7,0,0,5,1,6,0,NA
369,S1.2,E10.2,,HW,INVAS,B1,C-15,C,6,14,0,1,2,3,7,12,11,0,NA
370,S1.2,E10.2,,CTRL,INVAS,B1,C-16,A,17,13,0,0,0,1,0,0,5,1,NA
371,S1.2,E10.2,,CTRL,INVAS,B1,C-16,B,17,21,0,0,0,1,0,1,13,5,NA
372,S1.2,E10.2,,CTRL,INVAS,B1,C-16,C,19,13,0,0,0,2,0,4,21,1,NA
373,S1.2,E10.2,,WARM,CLOSED,B1,C-17,A,19,24,0,0,0,3,0,4,9,6,NA
374,S1.2,E10.2,,WARM,CLOSED,B1,C-17,B,8,9,0,0,0,1,0,1,6,7,NA
375,S1.2,E10.2,,WARM,CLOSED,B1,C-17,C,18,24,0,0,0,2,0,3,5,1,NA
376,S1.2,E10.2,,CTRL,INVAS,B1,C-18,A,7,27,0,0,0,3,0,9,24,1,NA
377,S1.2,E10.2,,CTRL,INVAS,B1,C-18,B,19,23,0,0,0,0,0,1,11,0,NA
378,S1.2,E10.2,,CTRL,INVAS,B1,C-18,C,15,22,1,0,0,6,2,16,21,1,NA
379,S1.3,E13.2,,WARM,INVAS,B1,C-01,A,13,20,0,0,0,2,0,1,22,3,NA
380,S1.3,E13.2,,WARM,INVAS,B1,C-01,B,10,21,0,0,0,0,0,0,21,4,NA
381,S1.3,E13.2,,WARM,INVAS,B1,C-01,C,21,38,0,0,0,3,1,5,35,6,NA
382,S1.3,E13.2,,CTRL,CLOSED,B1,C-02,A,15,19,0,0,0,3,0,0,43,0,NA
383,S1.3,E13.2,,CTRL,CLOSED,B1,C-02,B,22,39,0,1,0,0,0,2,31,0,NA
384,S1.3,E13.2,,CTRL,CLOSED,B1,C-02,C,23,22,0,0,0,1,0,2,25,0,NA
385,S1.3,E13.2,,HW,CLOSED,B1,C-03,A,2,7,0,0,0,0,0,0,30,0,NA
386,S1.3,E13.2,,HW,CLOSED,B1,C-03,B,10,6,0,0,2,0,0,4,31,2,NA
387,S1.3,E13.2,,HW,CLOSED,B1,C-03,C,2,5,0,0,2,0,0,4,29,0,NA
388,S1.3,E13.2,,WARM,INVAS,B1,C-04,A,5,8,1,0,0,0,1,2,44,1,NA
389,S1.3,E13.2,,WARM,INVAS,B1,C-04,B,8,7,1,1,0,4,1,4,41,5,NA
390,S1.3,E13.2,,WARM,INVAS,B1,C-04,C,11,8,0,1,0,2,0,1,77,1,NA
391,S1.3,E13.2,,WARM,INVAS,B1,C-05,A,7,6,0,0,0,1,0,0,53,2,NA
392,S1.3,E13.2,,WARM,INVAS,B1,C-05,B,12,11,0,0,0,1,0,3,48,5,NA
393,S1.3,E13.2,,WARM,INVAS,B1,C-05,C,9,9,0,0,0,0,0,0,71,0,NA
394,S1.3,E13.2,,HW,CLOSED,B1,C-06,A,16,19,0,0,0,0,0,0,5,0,NA
395,S1.3,E13.2,,HW,CLOSED,B1,C-06,B,16,17,0,0,0,0,0,0,22,0,NA
396,S1.3,E13.2,,HW,CLOSED,B1,C-06,C,20,26,0,0,0,0,0,0,24,0,NA
397,S1.3,E13.2,,HW,INVAS,B1,C-07,A,3,14,0,0,0,0,30,31,34,2,NA
398,S1.3,E13.2,,HW,INVAS,B1,C-07,B,6,5,0,0,0,0,24,16,24,1,NA
399,S1.3,E13.2,,HW,INVAS,B1,C-07,C,1,4,0,0,0,0,12,21,19,5,NA
400,S1.3,E13.2,,CTRL,CLOSED,B1,C-08,A,15,29,0,0,0,6,0,7,25,2,NA
401,S1.3,E13.2,,CTRL,CLOSED,B1,C-08,B,14,22,0,0,0,2,0,2,35,3,NA
402,S1.3,E13.2,,CTRL,CLOSED,B1,C-08,C,31,32,0,0,0,4,0,11,13,0,NA
403,S1.3,E13.2,,CTRL,CLOSED,B1,C-09,A,17,15,0,0,0,6,0,3,32,0,NA
404,S1.3,E13.2,,CTRL,CLOSED,B1,C-09,B,12,25,0,0,0,4,0,4,19,1,NA
405,S1.3,E13.2,,CTRL,CLOSED,B1,C-09,C,31,16,0,0,0,4,0,3,31,1,NA
406,S1.3,E13.2,,WARM,CLOSED,B1,C-10,A,6,8,2,1,0,1,0,1,81,0,NA
407,S1.3,E13.2,,WARM,CLOSED,B1,C-10,B,4,4,0,0,0,1,0,0,91,5,NA
408,S1.3,E13.2,,WARM,CLOSED,B1,C-10,C,6,7,0,0,0,2,0,1,80,0,NA
409,S1.3,E13.2,,HW,INVAS,B1,C-11,A,10,20,0,2,0,0,14,24,15,0,NA
410,S1.3,E13.2,,HW,INVAS,B1,C-11,B,16,19,0,0,0,0,3,6,27,1,NA
411,S1.3,E13.2,,HW,INVAS,B1,C-11,C,9,19,0,0,0,0,8,10,22,2,NA
412,S1.3,E13.2,,HW,CLOSED,B1,C-12,A,2,3,0,0,0,1,0,2,68,0,NA
413,S1.3,E13.2,,HW,CLOSED,B1,C-12,B,5,9,0,0,0,0,0,0,62,0,NA
414,S1.3,E13.2,,HW,CLOSED,B1,C-12,C,4,5,0,0,3,0,0,0,74,0,NA
415,S1.3,E13.2,,WARM,CLOSED,B1,C-13,A,4,6,0,1,0,2,0,3,78,3,NA
416,S1.3,E13.2,,WARM,CLOSED,B1,C-13,B,3,4,0,0,0,0,0,3,72,4,NA
417,S1.3,E13.2,,WARM,CLOSED,B1,C-13,C,2,1,0,0,0,4,0,3,84,2,NA
418,S1.3,E13.2,,CTRL,INVAS,B1,C-14,A,28,21,0,0,0,0,0,3,14,4,NA
419,S1.3,E13.2,,CTRL,INVAS,B1,C-14,B,11,14,0,0,0,4,0,5,30,3,NA
420,S1.3,E13.2,,CTRL,INVAS,B1,C-14,C,16,15,2,0,0,12,0,5,43,1,NA
421,S1.3,E13.2,,HW,INVAS,B1,C-15,A,1,0,0,0,0,0,15,14,3,11,NA
422,S1.3,E13.2,,HW,INVAS,B1,C-15,B,6,3,0,0,0,0,29,34,0,16,NA
423,S1.3,E13.2,,HW,INVAS,B1,C-15,C,2,5,0,0,0,0,16,20,0,5,NA
424,S1.3,E13.2,,CTRL,INVAS,B1,C-16,A,28,24,0,0,0,1,0,6,18,3,NA
425,S1.3,E13.2,,CTRL,INVAS,B1,C-16,B,16,18,0,1,0,3,3,14,30,2,NA
426,S1.3,E13.2,,CTRL,INVAS,B1,C-16,C,13,27,0,0,0,7,0,5,29,1,NA
427,S1.3,E13.2,,WARM,CLOSED,B1,C-17,A,14,20,1,0,0,1,0,1,44,0,NA
428,S1.3,E13.2,,WARM,CLOSED,B1,C-17,B,11,14,0,0,0,0,0,0,33,12,NA
429,S1.3,E13.2,,WARM,CLOSED,B1,C-17,C,23,15,0,0,0,3,0,1,52,1,NA
430,S1.3,E13.2,,CTRL,INVAS,B1,C-18,A,28,24,0,0,0,0,1,1,17,3,NA
431,S1.3,E13.2,,CTRL,INVAS,B1,C-18,B,43,31,0,0,0,6,1,9,22,1,NA
432,S1.3,E13.2,,CTRL,INVAS,B1,C-18,C,36,35,0,0,0,2,4,5,7,3,NA
541,S1.4,E16.2,,WARM,INVAS,B1,C-01,A,19,24,0,0,0,1,1,2,23,2,NA
542,S1.4,E16.2,,WARM,INVAS,B1,C-01,B,21,22,0,0,0,2,3,6,35,0,NA
543,S1.4,E16.2,,WARM,INVAS,B1,C-01,C,25,15,0,0,0,0,0,2,14,2,NA
544,S1.4,E16.2,,CTRL,CLOSED,B1,C-02,A,5,5,0,0,0,4,0,5,68,4,NA
545,S1.4,E16.2,,CTRL,CLOSED,B1,C-02,B,3,2,1,3,0,16,0,17,61,3,NA
546,S1.4,E16.2,,CTRL,CLOSED,B1,C-02,C,1,2,0,0,0,5,0,6,66,1,NA
547,S1.4,E16.2,,HW,CLOSED,B1,C-03,A,10,6,3,4,0,3,0,0,79,0,NA
548,S1.4,E16.2,,HW,CLOSED,B1,C-03,B,3,8,0,0,0,0,0,1,72,0,NA
549,S1.4,E16.2,,HW,CLOSED,B1,C-03,C,0,4,0,0,0,0,0,0,71,0,NA
550,S1.4,E16.2,,WARM,INVAS,B1,C-04,A,15,21,0,0,0,0,0,0,53,0,NA
551,S1.4,E16.2,,WARM,INVAS,B1,C-04,B,4,4,0,0,0,7,1,5,64,1,NA
552,S1.4,E16.2,,WARM,INVAS,B1,C-04,C,6,11,10,3,0,0,2,6,73,3,NA
553,S1.4,E16.2,,WARM,INVAS,B1,C-05,A,12,14,0,0,0,0,0,2,56,0,NA
554,S1.4,E16.2,,WARM,INVAS,B1,C-05,B,8,10,0,0,0,0,0,0,52,1,NA
555,S1.4,E16.2,,WARM,INVAS,B1,C-05,C,7,12,6,1,0,1,0,0,60,0,NA
556,S1.4,E16.2,,HW,CLOSED,B1,C-06,A,30,26,0,0,0,0,0,0,33,0,NA
557,S1.4,E16.2,,HW,CLOSED,B1,C-06,B,14,27,0,0,0,0,0,1,21,0,NA
558,S1.4,E16.2,,HW,CLOSED,B1,C-06,C,21,20,0,0,0,1,0,0,41,0,NA
559,S1.4,E16.2,,HW,INVAS,B1,C-07,A,23,34,0,0,1,0,1,2,5,0,NA
560,S1.4,E16.2,,HW,INVAS,B1,C-07,B,31,23,0,0,0,1,0,2,2,2,NA
561,S1.4,E16.2,,HW,INVAS,B1,C-07,C,27,32,0,3,0,0,2,2,2,1,NA
562,S1.4,E16.2,,CTRL,CLOSED,B1,C-08,A,10,15,0,0,0,6,0,10,46,0,NA
563,S1.4,E16.2,,CTRL,CLOSED,B1,C-08,B,8,6,2,3,0,10,0,11,71,0,NA
564,S1.4,E16.2,,CTRL,CLOSED,B1,C-08,C,5,3,1,0,0,5,0,5,58,1,NA
565,S1.4,E16.2,,CTRL,CLOSED,B1,C-09,A,11,12,0,0,0,9,0,11,38,0,NA
566,S1.4,E16.2,,CTRL,CLOSED,B1,C-09,B,5,8,0,0,0,3,0,1,39,1,NA
567,S1.4,E16.2,,CTRL,CLOSED,B1,C-09,C,8,6,0,0,0,6,0,4,64,0,NA
568,S1.4,E16.2,,WARM,CLOSED,B1,C-10,A,1,0,0,0,0,1,0,2,102,1,NA
569,S1.4,E16.2,,WARM,CLOSED,B1,C-10,B,14,11,0,0,0,4,0,6,74,0,NA
570,S1.4,E16.2,,WARM,CLOSED,B1,C-10,C,5,4,1,0,0,1,0,0,90,0,NA
571,S1.4,E16.2,,HW,INVAS,B1,C-11,A,26,24,0,0,0,1,0,0,5,0,NA
572,S1.4,E16.2,,HW,INVAS,B1,C-11,B,17,26,0,0,0,0,0,0,16,0,NA
573,S1.4,E16.2,,HW,INVAS,B1,C-11,C,24,33,0,0,0,0,1,1,9,1,NA
574,S1.4,E16.2,,HW,CLOSED,B1,C-12,A,5,3,0,0,0,1,0,0,38,1,NA
575,S1.4,E16.2,,HW,CLOSED,B1,C-12,B,9,8,0,0,0,0,0,0,67,0,NA
576,S1.4,E16.2,,HW,CLOSED,B1,C-12,C,5,7,0,0,0,1,0,0,84,0,NA
577,S1.4,E16.2,,WARM,CLOSED,B1,C-13,A,0,1,7,5,0,0,0,3,96,0,NA
578,S1.4,E16.2,,WARM,CLOSED,B1,C-13,B,2,1,0,0,0,5,0,4,80,0,NA
579,S1.4,E16.2,,WARM,CLOSED,B1,C-13,C,4,4,0,0,0,4,0,4,73,0,NA
580,S1.4,E16.2,,CTRL,INVAS,B1,C-14,A,7,7,2,4,0,10,3,12,44,1,NA
581,S1.4,E16.2,,CTRL,INVAS,B1,C-14,B,3,8,0,1,0,5,2,9,43,4,NA
582,S1.4,E16.2,,CTRL,INVAS,B1,C-14,C,3,2,1,0,0,9,0,9,53,2,NA
583,S1.4,E16.2,,HW,INVAS,B1,C-15,A,31,31,0,0,0,1,5,8,4,0,NA
584,S1.4,E16.2,,HW,INVAS,B1,C-15,B,39,32,0,0,0,1,1,1,2,0,NA
585,S1.4,E16.2,,HW,INVAS,B1,C-15,C,26,25,0,0,0,0,5,12,4,1,NA
586,S1.4,E16.2,,CTRL,INVAS,B1,C-16,A,8,8,4,5,0,5,2,2,72,2,NA
587,S1.4,E16.2,,CTRL,INVAS,B1,C-16,B,7,7,1,1,0,4,0,8,41,2,NA
588,S1.4,E16.2,,CTRL,INVAS,B1,C-16,C,3,3,4,3,0,4,1,7,56,1,NA
589,S1.4,E16.2,,WARM,CLOSED,B1,C-17,A,3,2,2,2,0,2,0,1,58,0,NA
590,S1.4,E16.2,,WARM,CLOSED,B1,C-17,B,3,1,1,0,0,2,0,6,61,0,NA
591,S1.4,E16.2,,WARM,CLOSED,B1,C-17,C,3,1,0,0,0,3,0,3,81,2,NA
592,S1.4,E16.2,,CTRL,INVAS,B1,C-18,A,27,30,0,0,0,2,0,4,4,7,NA
593,S1.4,E16.2,,CTRL,INVAS,B1,C-18,B,24,38,3,0,0,5,5,10,19,0,NA
594,S1.4,E16.2,,CTRL,INVAS,B1,C-18,C,36,45,0,0,0,4,3,8,8,2,NA
595,S1.5,E19.2,,WARM,INVAS,B1,C-01,A,24,27,0,0,0,1,2,1,37,0,NA
596,S1.5,E19.2,,WARM,INVAS,B1,C-01,B,28,28,0,0,0,0,0,5,22,0,NA
597,S1.5,E19.2,,WARM,INVAS,B1,C-01,C,30,39,0,0,0,2,3,5,6,0,NA
598,S1.5,E19.2,,CTRL,CLOSED,B1,C-02,A,3,4,5,3,0,11,0,10,101,2,NA
599,S1.5,E19.2,,CTRL,CLOSED,B1,C-02,B,2,3,0,1,0,30,0,23,58,5,NA
600,S1.5,E19.2,,CTRL,CLOSED,B1,C-02,C,11,2,0,0,0,6,0,3,110,1,NA
601,S1.5,E19.2,,HW,CLOSED,B1,C-03,A,13,13,0,0,0,3,0,0,51,0,NA
602,S1.5,E19.2,,HW,CLOSED,B1,C-03,B,16,18,1,1,0,0,0,0,35,0,NA
603,S1.5,E19.2,,HW,CLOSED,B1,C-03,C,11,12,0,0,0,0,0,0,50,0,NA
604,S1.5,E19.2,,WARM,INVAS,B1,C-04,A,8,8,0,0,0,4,3,8,90,0,NA
605,S1.5,E19.2,,WARM,INVAS,B1,C-04,B,9,11,3,1,0,5,1,8,78,1,NA
606,S1.5,E19.2,,WARM,INVAS,B1,C-04,C,19,18,1,0,0,2,3,4,60,0,NA
607,S1.5,E19.2,,WARM,INVAS,B1,C-05,A,4,4,0,3,0,0,1,3,112,0,NA
608,S1.5,E19.2,,WARM,INVAS,B1,C-05,B,3,8,1,5,0,0,1,2,55,1,NA
609,S1.5,E19.2,,WARM,INVAS,B1,C-05,C,0,0,1,0,0,3,0,2,99,1,NA
610,S1.5,E19.2,,HW,CLOSED,B1,C-06,A,24,22,1,0,0,0,0,0,11,0,NA
611,S1.5,E19.2,,HW,CLOSED,B1,C-06,B,35,34,0,0,1,0,0,0,34,0,NA
612,S1.5,E19.2,,HW,CLOSED,B1,C-06,C,31,27,0,0,0,0,0,0,23,0,NA
613,S1.5,E19.2,,HW,INVAS,B1,C-07,A,24,28,3,3,0,0,29,27,30,0,NA
614,S1.5,E19.2,,HW,INVAS,B1,C-07,B,35,37,0,0,0,0,7,12,1,0,NA
615,S1.5,E19.2,,HW,INVAS,B1,C-07,C,39,28,0,0,0,0,2,2,1,0,NA
616,S1.5,E19.2,,CTRL,CLOSED,B1,C-08,A,0,7,2,2,0,2,0,3,71,1,NA
617,S1.5,E19.2,,CTRL,CLOSED,B1,C-08,B,5,7,0,0,0,6,0,14,81,1,NA
618,S1.5,E19.2,,CTRL,CLOSED,B1,C-08,C,10,8,0,0,0,3,0,2,66,5,NA
619,S1.5,E19.2,,CTRL,CLOSED,B1,C-09,A,9,8,2,2,0,19,0,22,57,2,NA
620,S1.5,E19.2,,CTRL,CLOSED,B1,C-09,B,16,9,0,0,0,12,0,10,89,2,NA
621,S1.5,E19.2,,CTRL,CLOSED,B1,C-09,C,6,5,2,2,0,11,0,4,81,3,NA
622,S1.5,E19.2,,WARM,CLOSED,B1,C-10,A,2,1,0,0,0,0,0,2,89,1,NA
623,S1.5,E19.2,,WARM,CLOSED,B1,C-10,B,4,5,0,0,0,4,0,4,104,0,NA
624,S1.5,E19.2,,WARM,CLOSED,B1,C-10,C,3,2,1,4,0,1,0,3,84,0,NA
625,S1.5,E19.2,,HW,INVAS,B1,C-11,A,22,45,0,2,0,0,1,0,9,0,NA
626,S1.5,E19.2,,HW,INVAS,B1,C-11,B,22,22,0,0,0,0,0,0,2,0,NA
627,S1.5,E19.2,,HW,INVAS,B1,C-11,C,22,43,0,0,0,0,0,1,1,0,NA
628,S1.5,E19.2,,HW,CLOSED,B1,C-12,A,18,15,0,0,0,0,0,4,50,0,NA
629,S1.5,E19.2,,HW,CLOSED,B1,C-12,B,12,12,0,0,0,0,0,0,59,0,NA
630,S1.5,E19.2,,HW,CLOSED,B1,C-12,C,18,15,1,6,0,0,0,0,38,1,NA
631,S1.5,E19.2,,WARM,CLOSED,B1,C-13,A,2,11,8,2,0,8,0,8,60,6,NA
632,S1.5,E19.2,,WARM,CLOSED,B1,C-13,B,4,4,0,0,0,3,0,3,112,1,NA
633,S1.5,E19.2,,WARM,CLOSED,B1,C-13,C,1,4,0,0,0,1,0,5,102,2,NA
634,S1.5,E19.2,,CTRL,INVAS,B1,C-14,A,3,3,1,1,0,13,1,17,86,3,NA
635,S1.5,E19.2,,CTRL,INVAS,B1,C-14,B,19,15,1,0,0,5,0,5,57,2,NA
636,S1.5,E19.2,,CTRL,INVAS,B1,C-14,C,5,11,2,0,0,15,0,14,89,2,NA
637,S1.5,E19.2,,HW,INVAS,B1,C-15,A,22,32,0,0,0,0,0,1,1,0,NA
638,S1.5,E19.2,,HW,INVAS,B1,C-15,B,21,20,0,0,0,0,2,1,7,0,NA
639,S1.5,E19.2,,HW,INVAS,B1,C-15,C,29,38,1,0,0,0,2,2,1,0,NA
640,S1.5,E19.2,,CTRL,INVAS,B1,C-16,A,13,9,0,0,0,2,0,10,78,2,NA
641,S1.5,E19.2,,CTRL,INVAS,B1,C-16,B,10,11,0,1,0,5,0,7,70,0,NA
642,S1.5,E19.2,,CTRL,INVAS,B1,C-16,C,8,5,1,1,0,15,1,6,93,0,NA
643,S1.5,E19.2,,WARM,CLOSED,B1,C-17,A,3,4,0,0,0,3,0,2,104,0,NA
644,S1.5,E19.2,,WARM,CLOSED,B1,C-17,B,0,2,4,0,0,1,0,0,58,0,NA
645,S1.5,E19.2,,WARM,CLOSED,B1,C-17,C,2,2,3,4,0,3,0,3,80,0,NA
646,S1.5,E19.2,,CTRL,INVAS,B1,C-18,A,47,29,0,0,0,6,0,6,4,2,NA
647,S1.5,E19.2,,CTRL,INVAS,B1,C-18,B,24,17,1,1,0,1,0,11,43,4,NA
648,S1.5,E19.2,,CTRL,INVAS,B1,C-18,C,28,37,0,0,0,0,0,2,15,1,NA
649,S1.6,E22.2,,WARM,INVAS,B1,C-01,A,4,3,0,0,0,0,0,0,37,0,NA
650,S1.6,E22.2,,WARM,INVAS,B1,C-01,B,8,5,0,0,0,1,0,1,46,1,NA
651,S1.6,E22.2,,WARM,INVAS,B1,C-01,C,5,8,0,0,0,5,0,0,31,0,NA
652,S1.6,E22.2,,CTRL,CLOSED,B1,C-02,A,4,9,0,0,0,6,0,9,49,0,NA
653,S1.6,E22.2,,CTRL,CLOSED,B1,C-02,B,4,1,1,2,0,12,0,9,63,0,NA
654,S1.6,E22.2,,CTRL,CLOSED,B1,C-02,C,2,1,1,0,2,9,0,19,65,0,NA
655,S1.6,E22.2,,HW,CLOSED,B1,C-03,A,0,2,0,0,0,0,0,0,29,0,NA
656,S1.6,E22.2,,HW,CLOSED,B1,C-03,B,0,1,0,0,0,2,0,0,29,0,NA
657,S1.6,E22.2,,HW,CLOSED,B1,C-03,C,0,3,0,0,0,0,0,1,40,0,NA
658,S1.6,E22.2,,WARM,INVAS,B1,C-04,A,4,3,0,0,0,8,1,11,32,0,NA
659,S1.6,E22.2,,WARM,INVAS,B1,C-04,B,0,1,0,0,0,3,0,4,45,3,NA
660,S1.6,E22.2,,WARM,INVAS,B1,C-04,C,2,4,0,0,0,9,0,14,50,0,NA
661,S1.6,E22.2,,WARM,INVAS,B1,C-05,A,3,6,0,0,0,1,0,1,40,0,NA
662,S1.6,E22.2,,WARM,INVAS,B1,C-05,B,9,13,0,0,0,5,0,2,72,0,NA
663,S1.6,E22.2,,WARM,INVAS,B1,C-05,C,1,4,6,3,0,3,1,5,65,0,NA
664,S1.6,E22.2,,HW,CLOSED,B1,C-06,A,0,2,0,0,0,4,0,2,77,0,NA
665,S1.6,E22.2,,HW,CLOSED,B1,C-06,B,1,2,0,0,0,0,0,0,52,0,NA
666,S1.6,E22.2,,HW,CLOSED,B1,C-06,C,2,2,0,0,0,2,0,0,50,0,NA
667,S1.6,E22.2,,HW,INVAS,B1,C-07,A,11,22,0,0,0,0,29,29,2,0,NA
668,S1.6,E22.2,,HW,INVAS,B1,C-07,B,13,13,0,0,0,0,22,11,5,0,NA
669,S1.6,E22.2,,HW,INVAS,B1,C-07,C,4,12,0,0,0,0,31,41,4,0,NA
670,S1.6,E22.2,,CTRL,CLOSED,B1,C-08,A,7,5,0,1,0,11,0,18,69,0,NA
671,S1.6,E22.2,,CTRL,CLOSED,B1,C-08,B,1,1,0,0,0,9,0,5,75,5,NA
672,S1.6,E22.2,,CTRL,CLOSED,B1,C-08,C,2,4,0,0,0,9,0,10,52,1,NA
673,S1.6,E22.2,,CTRL,CLOSED,B1,C-09,A,18,15,0,0,0,1,0,0,40,0,NA
674,S1.6,E22.2,,CTRL,CLOSED,B1,C-09,B,2,9,0,0,0,7,0,8,52,0,NA
675,S1.6,E22.2,,CTRL,CLOSED,B1,C-09,C,16,15,0,0,0,8,0,4,60,0,NA
676,S1.6,E22.2,,WARM,CLOSED,B1,C-10,A,2,0,0,0,0,10,0,2,65,1,NA
677,S1.6,E22.2,,WARM,CLOSED,B1,C-10,B,1,0,3,2,0,9,0,11,48,0,NA
678,S1.6,E22.2,,WARM,CLOSED,B1,C-10,C,0,0,0,0,0,2,0,1,59,0,NA
679,S1.6,E22.2,,HW,INVAS,B1,C-11,A,9,9,0,0,0,0,13,16,17,0,NA
680,S1.6,E22.2,,HW,INVAS,B1,C-11,B,3,3,0,0,0,0,21,20,30,0,NA
681,S1.6,E22.2,,HW,INVAS,B1,C-11,C,13,10,0,0,0,0,25,16,13,0,NA
682,S1.6,E22.2,,HW,CLOSED,B1,C-12,A,1,1,0,0,0,3,0,3,59,0,NA
683,S1.6,E22.2,,HW,CLOSED,B1,C-12,B,1,1,0,0,0,0,0,2,65,0,NA
684,S1.6,E22.2,,HW,CLOSED,B1,C-12,C,1,4,0,0,0,0,0,0,50,0,NA
685,S1.6,E22.2,,WARM,CLOSED,B1,C-13,A,1,7,0,0,1,7,0,10,79,1,NA
686,S1.6,E22.2,,WARM,CLOSED,B1,C-13,B,7,7,0,0,0,3,0,6,65,3,NA
687,S1.6,E22.2,,WARM,CLOSED,B1,C-13,C,2,2,1,0,0,8,0,10,44,1,NA
688,S1.6,E22.2,,CTRL,INVAS,B1,C-14,A,10,17,1,1,0,17,0,23,37,0,NA
689,S1.6,E22.2,,CTRL,INVAS,B1,C-14,B,12,17,0,0,0,8,0,18,42,0,NA
690,S1.6,E22.2,,CTRL,INVAS,B1,C-14,C,4,8,6,6,1,6,0,8,56,0,NA
691,S1.6,E22.2,,HW,INVAS,B1,C-15,A,8,3,0,0,0,0,12,10,37,0,NA
692,S1.6,E22.2,,HW,INVAS,B1,C-15,B,7,4,0,0,0,0,7,10,27,0,NA
693,S1.6,E22.2,,HW,INVAS,B1,C-15,C,3,6,1,0,0,0,5,7,33,0,NA
694,S1.6,E22.2,,CTRL,INVAS,B1,C-16,A,4,8,2,5,0,5,0,6,36,0,NA
695,S1.6,E22.2,,CTRL,INVAS,B1,C-16,B,4,5,1,1,0,7,1,6,66,0,NA
696,S1.6,E22.2,,CTRL,INVAS,B1,C-16,C,4,11,0,0,0,8,1,12,58,0,NA
697,S1.6,E22.2,,WARM,CLOSED,B1,C-17,A,2,2,5,2,0,2,0,2,57,0,NA
698,S1.6,E22.2,,WARM,CLOSED,B1,C-17,B,1,11,3,0,0,9,0,7,43,0,NA
699,S1.6,E22.2,,WARM,CLOSED,B1,C-17,C,21,14,0,0,0,7,0,6,62,0,NA
700,S1.6,E22.2,,CTRL,INVAS,B1,C-18,A,30,36,1,3,0,2,2,8,3,0,NA
701,S1.6,E22.2,,CTRL,INVAS,B1,C-18,B,26,25,0,0,0,1,0,1,9,1,NA
702,S1.6,E22.2,,CTRL,INVAS,B1,C-18,C,29,19,3,3,1,5,2,11,30,3,NA
217,S0.1,I1.2,,CTRL,CLOSED,B2,C-19,A,12,7,3,3,0,1,NA,5,55,0,NA
218,S0.1,I1.2,,CTRL,CLOSED,B2,C-19,B,26,21,0,0,0,5,NA,9,35,0,NA
219,S0.1,I1.2,,CTRL,CLOSED,B2,C-19,C,24,13,0,0,8,4,NA,9,54,0,NA
